scenario_id,pool_n,n_feasible_pool,frontier_pool,violation,dominance,rent_gap,commute_gap
S000,120,40,23,0.653,0.4545714285714285,162.76285714285714,15.610514394758608
S001,120,40,34,0.6659999999999999,0.1714285714285714,1422.8857142857144,-8.193314057359487
S002,120,40,5,0.637,0.8693693693693694,1617.1702702702703,-2.4363472658625893
S003,120,40,7,0.679,0.8351190476190476,987.9375,14.008512750020335
S004,120,40,12,0.6809999999999999,0.6971899224806202,1175.5959302325582,8.430036145012668
S005,120,40,29,0.6609999999999999,0.3289980732177264,-316.7919075144509,11.461453486167196
S006,120,40,15,0.6599999999999998,0.6188081936685289,-306.53072625698326,19.871322553732345
S007,120,40,13,0.6859999999999999,0.6939484126984128,-161.27380952380952,11.60224821672313
S008,120,40,27,0.6709999999999999,0.3147619047619047,-294.5885714285714,16.067017979168845
S009,120,40,18,0.66,0.5190207156308851,-222.6553672316384,28.41628296857077
S010,120,40,29,0.705,0.2646464646464646,1571.112121212121,-6.090642491936905
S011,120,40,9,0.655,0.8035984848484848,1313.877840909091,-1.678148835210456
S012,120,40,18,0.6659999999999999,0.5314176245210728,-411.8735632183908,30.03950077978873
S013,120,40,27,0.6679999999999999,0.3738235294117646,-487.6588235294118,18.90543331582974
S014,120,40,23,0.669,0.4855491329479768,918.650289017341,-4.279787996369101
S015,120,40,27,0.665,0.3198458574181117,416.2023121387283,15.093212532960036
S016,120,40,17,0.6639999999999999,0.562617702448211,-216.7824858757062,23.904512302006392
S017,120,40,29,0.659,0.2684659090909091,62.59943181818182,21.82358799399775
S018,120,40,24,0.6739999999999999,0.3830409356725146,607.5292397660819,12.82756709119574
S019,120,40,23,0.6570000000000001,0.4414201183431952,1253.5473372781064,-9.881783432956206
S020,120,40,18,0.655,0.5533333333333333,1165.4972222222225,-0.5287382706568846
S021,120,40,15,0.6579999999999998,0.6382022471910112,-142.8005617977528,8.262939420352442
S022,120,40,18,0.6459999999999999,0.5135838150289017,995.121387283237,-0.5236309397041626
S023,120,40,15,0.6629999999999999,0.5814711359404098,1147.4469273743016,-2.5080947017998767
S024,120,40,11,0.6569999999999999,0.7728571428571429,-1097.16,19.10286878448329
S025,120,40,24,0.672,0.4120111731843575,1471.8966480446927,-8.66025065468102
S026,120,40,25,0.6859999999999999,0.3975915221579961,707.5375722543353,-4.679071471300522
S027,120,40,12,0.6629999999999998,0.7217348927875243,-212.8245614035088,15.80691568018608
S028,120,40,18,0.66,0.5660952380952381,-173.58285714285714,29.80945863493024
S029,120,40,31,0.67,0.2198643410852713,-58.4593023255814,21.786607260083223
S030,120,40,17,0.6769999999999999,0.603670634920635,978.077380952381,2.4611917521989737
S031,120,40,15,0.653,0.5906998158379373,-415.4972375690608,10.223158853801545
S032,120,40,29,0.672,0.3419020715630885,1709.5649717514125,-5.07882185354067
S033,120,40,20,0.645,0.4946557971014492,1117.8070652173913,-1.0736720865622087
S034,120,40,17,0.664,0.555243445692884,-327.1769662921348,26.095459180194617
S035,120,40,17,0.6709999999999999,0.5649122807017544,-616.7280701754386,16.78223297634478
S036,120,40,10,0.6839999999999999,0.7620588235294118,-305.67058823529413,8.830642991997879
S037,120,40,15,0.687,0.6555876685934489,1005.179190751445,-6.168559022407909
S038,120,40,13,0.6679999999999999,0.6861963190184048,-242.35276073619636,11.298659600792218
S039,120,40,13,0.659,0.6912878787878788,3.596590909090909,15.276337760508842
S040,120,40,15,0.703,0.6042914171656686,1181.497005988024,4.465968360186492
S041,120,40,17,0.644,0.5885416666666667,68.44602272727273,10.431870889743188
S042,120,40,30,0.6519999999999999,0.2626893939393939,-594.3181818181819,15.30120055680971
S043,120,40,11,0.664,0.7397660818713451,310.14619883040933,14.402777881723113
S044,120,40,23,0.643,0.4924242424242424,1380.8295454545455,-2.1617228216421327
S045,120,40,18,0.6890000000000001,0.591337099811676,-266.0508474576271,16.84103869939415
S046,120,40,17,0.633,0.5813296903460838,-332.76775956284155,20.13890981144758
S047,120,40,18,0.6609999999999999,0.5446666666666666,-339.4342857142857,25.734801417203645
S048,120,40,12,0.6739999999999999,0.703757225433526,-397.07225433526014,20.43083272649681
S049,120,40,11,0.682,0.7012670565302144,-829.3040935672515,19.858592945977204
S050,120,40,13,0.6609999999999999,0.6387037037037037,-249.9361111111111,11.709985900977744
S051,120,40,21,0.6509999999999999,0.506155303030303,319.42897727272725,15.500091751012745
S052,120,40,23,0.6619999999999999,0.4131086142322097,20.59550561797753,21.117793363461814
S053,120,40,10,0.66,0.6961610486891386,1161.8679775280898,-1.954716674064944
S054,120,40,29,0.66,0.2943775100401606,71.91867469879519,21.14482644849321
S055,120,40,26,0.653,0.3786549707602339,1152.766081871345,-13.604144318243758
S056,120,40,22,0.6729999999999998,0.431764705882353,-189.1764705882353,10.494386148122308
S057,120,40,28,0.6890000000000001,0.2480842911877394,-1496.5545977011495,16.41293541945734
S058,120,40,16,0.665,0.6410984848484848,1443.971590909091,2.842240814812941
S059,120,40,7,0.6729999999999999,0.8318363273453091,292.5,12.4112137736389
S060,120,40,16,0.688,0.5877192982456141,-332.9502923976608,12.016486397477836
S061,120,40,18,0.6569999999999999,0.5937265917602995,-410.2191011235955,18.253454300122925
S062,120,40,6,0.6569999999999999,0.8178838951310861,-270.3820224719101,17.370007706944275
S063,120,40,17,0.667,0.618921568627451,-272.4970588235294,29.770612887693044
S064,120,40,6,0.6920000000000001,0.8624031007751937,103.28488372093024,7.220871049685367
S065,120,40,16,0.6709999999999999,0.6048689138576778,-615.814606741573,18.590293636610888
S066,120,40,11,0.6629999999999999,0.742843691148776,-0.9887005649717514,11.212336324313933
S067,120,40,27,0.645,0.2871428571428571,1663.8942857142856,-5.4015937350350125
