scenario_id,bedrooms,anchor,max_commute,budget_pctl,budget_usd,priority,specificity,n_eligible,n_feasible_universe,frontier_universe,n_feasible_pool,frontier_pool,min_rent_feas,med_rent_feas,min_commute_feas
S000,0,downtown_manhattan,30,75,4150,location_first,explicit,3885,522,23,40,23,1600,3650.0,2.556054836697468
S001,0,downtown_brooklyn,60,75,4150,rent_first,lifestyle,3885,1606,34,40,34,1600,3400.0,2.1761462516942705
S002,2,midtown_manhattan,30,25,3650,rent_first,explicit,3885,40,5,40,5,1625,3425.0,13.899150969771307
S003,1,midtown_manhattan,60,25,3250,rent_first,explicit,3885,525,7,40,7,1600,2971.0,11.333242166933513
S004,0,midtown_manhattan,60,50,3600,rent_first,explicit,3885,1101,12,40,12,1600,3150.0,10.72967999757139
S005,0,downtown_brooklyn,30,75,4150,commute_first,explicit,3885,544,29,40,29,1600,3535.0,2.1761462516942705
S006,1,downtown_brooklyn,60,25,3250,location_first,lifestyle,3885,497,15,40,15,1600,2999.0,9.98600939720012
S007,0,downtown_brooklyn,30,25,3100,commute_first,explicit,3885,111,13,40,13,1600,2900.0,9.98600939720012
S008,1,downtown_brooklyn,45,50,4100,location_first,explicit,3885,801,27,40,27,1600,3500.0,2.1761462516942705
S009,1,downtown_manhattan,60,25,3250,location_first,explicit,3885,522,18,40,18,1600,2995.0,2.6966650945796298
S010,1,downtown_manhattan,60,50,4100,rent_first,lifestyle,3885,1233,29,40,29,1600,3395.0,2.556054836697468
S011,1,midtown_manhattan,30,50,4100,rent_first,lifestyle,3885,290,9,40,9,1625,3566.5,11.333242166933513
S012,0,downtown_manhattan,60,25,3100,commute_first,lifestyle,3885,501,18,40,18,1600,2790.0,2.6966650945796298
S013,1,downtown_brooklyn,60,50,4100,commute_first,lifestyle,3885,1182,27,40,27,1600,3395.0,2.1761462516942705
S014,1,downtown_brooklyn,30,75,5000,rent_first,explicit,3885,680,23,40,23,1600,4000.0,2.1761462516942705
S015,2,downtown_brooklyn,45,75,6950,location_first,explicit,3885,839,27,40,27,1625,4500.0,3.767027013788408
S016,2,downtown_manhattan,45,25,3650,commute_first,lifestyle,3885,235,17,40,17,1625,3260.0,4.958923192190531
S017,1,downtown_manhattan,45,50,4100,location_first,lifestyle,3885,927,29,40,29,1600,3415.0,2.556054836697468
S018,1,downtown_manhattan,30,75,5000,location_first,explicit,3885,642,24,40,24,1600,4150.0,2.556054836697468
S019,2,downtown_manhattan,45,50,5000,rent_first,lifestyle,3885,551,23,40,23,1625,3800.0,4.253753279519135
S020,1,downtown_manhattan,45,25,3250,rent_first,lifestyle,3885,350,18,40,18,1600,3000.0,2.6966650945796298
S021,2,midtown_manhattan,30,75,6950,location_first,explicit,3885,367,15,40,15,1625,5300.0,10.546782184344496
S022,0,downtown_manhattan,45,25,3100,rent_first,lifestyle,3885,351,18,40,18,1600,2800.0,2.6966650945796298
S023,1,downtown_brooklyn,45,25,3250,rent_first,explicit,3885,276,15,40,15,1600,2995.0,9.98600939720012
S024,2,midtown_manhattan,45,50,5000,commute_first,lifestyle,3885,444,11,40,11,1625,3995.0,11.78118483445188
S025,1,downtown_manhattan,30,75,5000,rent_first,lifestyle,3885,642,24,40,24,1600,4150.0,2.556054836697468
S026,0,downtown_brooklyn,30,50,3600,rent_first,explicit,3885,309,25,40,25,1600,3250.0,3.767027013788408
S027,0,midtown_manhattan,45,50,3600,commute_first,lifestyle,3885,761,12,40,12,1600,3200.0,10.72967999757139
S028,1,downtown_manhattan,60,25,3250,commute_first,lifestyle,3885,522,18,40,18,1600,2995.0,2.6966650945796298
S029,0,downtown_manhattan,45,75,4150,location_first,lifestyle,3885,1317,31,40,31,1600,3461.0,2.556054836697468
S030,0,downtown_brooklyn,60,25,3100,rent_first,lifestyle,3885,475,17,40,17,1600,2799.0,9.98600939720012
S031,1,midtown_manhattan,30,75,5000,location_first,lifestyle,3885,645,15,40,15,1625,4200.0,4.313284392402618
S032,1,downtown_brooklyn,60,75,5000,rent_first,lifestyle,3885,1816,29,40,29,1600,3778.5,2.1761462516942705
S033,0,downtown_manhattan,30,50,3600,rent_first,explicit,3885,247,20,40,20,1600,3295.0,2.6966650945796298
S034,2,downtown_manhattan,60,25,3650,location_first,explicit,3885,317,17,40,17,1625,3229.0,4.958923192190531
S035,1,midtown_manhattan,60,75,5000,location_first,explicit,3885,1881,17,40,17,1600,3753.0,4.313284392402618
S036,0,midtown_manhattan,30,50,3600,location_first,lifestyle,3885,277,10,40,10,1625,3200.0,10.72967999757139
S037,2,downtown_manhattan,30,50,5000,rent_first,explicit,3885,157,15,40,15,2800,4195.0,4.253753279519135
S038,0,downtown_brooklyn,30,25,3100,location_first,explicit,3885,111,13,40,13,1600,2900.0,9.98600939720012
S039,1,downtown_manhattan,30,25,3250,location_first,explicit,3885,62,13,40,13,1600,3000.0,2.6966650945796298
S040,1,downtown_brooklyn,60,25,3250,rent_first,lifestyle,3885,497,15,40,15,1600,2999.0,9.98600939720012
S041,2,downtown_brooklyn,30,50,5000,location_first,explicit,3885,240,17,40,17,2700,3850.0,3.767027013788408
S042,0,downtown_brooklyn,45,50,3600,location_first,explicit,3885,690,30,40,30,1600,3200.0,3.767027013788408
S043,1,midtown_manhattan,45,50,4100,location_first,explicit,3885,880,11,40,11,1600,3464.5,11.333242166933513
S044,0,downtown_manhattan,30,75,4150,rent_first,lifestyle,3885,522,23,40,23,1600,3650.0,2.556054836697468
S045,2,downtown_brooklyn,45,25,3650,commute_first,explicit,3885,224,18,40,18,1625,3235.0,3.767027013788408
S046,0,downtown_brooklyn,60,25,3100,commute_first,lifestyle,3885,475,17,40,17,1600,2799.0,9.98600939720012
S047,0,downtown_manhattan,45,25,3100,location_first,lifestyle,3885,351,18,40,18,1600,2800.0,2.6966650945796298
S048,0,midtown_manhattan,60,50,3600,commute_first,explicit,3885,1101,12,40,12,1600,3150.0,10.72967999757139
S049,2,midtown_manhattan,60,50,5000,commute_first,explicit,3885,710,11,40,11,1625,3753.0,11.78118483445188
S050,2,downtown_brooklyn,30,25,3650,location_first,explicit,3885,105,13,40,13,2700,3300.0,3.767027013788408
S051,1,downtown_manhattan,30,50,4100,commute_first,explicit,3885,299,21,40,21,1600,3650.0,2.556054836697468
S052,2,downtown_manhattan,60,50,5000,location_first,explicit,3885,713,23,40,23,1625,3750.0,4.253753279519135
S053,0,midtown_manhattan,30,50,3600,rent_first,lifestyle,3885,277,10,40,10,1625,3200.0,10.72967999757139
S054,1,downtown_manhattan,60,50,4100,location_first,explicit,3885,1233,29,40,29,1600,3395.0,2.556054836697468
S055,0,downtown_manhattan,45,50,3600,rent_first,lifestyle,3885,804,26,40,26,1600,3200.0,2.6966650945796298
S056,1,downtown_brooklyn,30,50,4100,location_first,explicit,3885,384,22,40,22,1600,3516.0,2.1761462516942705
S057,2,downtown_manhattan,45,75,6950,commute_first,lifestyle,3885,884,28,40,28,1625,4500.0,2.6966650945796298
S058,0,midtown_manhattan,45,75,4150,rent_first,lifestyle,3885,1271,16,40,16,1600,3495.0,5.633695641610785
S059,1,midtown_manhattan,45,25,3250,location_first,lifestyle,3885,322,7,40,7,1600,2995.0,11.333242166933513
S060,2,midtown_manhattan,45,75,6950,commute_first,lifestyle,3885,765,16,40,16,1625,4650.0,10.546782184344496
S061,2,downtown_brooklyn,60,25,3650,location_first,lifestyle,3885,304,18,40,18,1625,3227.0,3.767027013788408
S062,2,midtown_manhattan,60,25,3650,commute_first,explicit,3885,309,6,40,6,1625,3275.0,13.899150969771307
S063,2,downtown_manhattan,60,25,3650,commute_first,lifestyle,3885,317,17,40,17,1625,3229.0,4.958923192190531
S064,1,midtown_manhattan,30,25,3250,commute_first,lifestyle,3885,82,6,40,6,1625,2990.0,11.333242166933513
S065,2,midtown_manhattan,60,75,6950,location_first,explicit,3885,1053,16,40,16,1625,4250.0,10.546782184344496
S066,2,downtown_manhattan,30,25,3650,location_first,explicit,3885,42,11,40,11,2800,3495.0,4.958923192190531
S067,1,downtown_brooklyn,45,50,4100,rent_first,lifestyle,3885,801,27,40,27,1600,3500.0,2.1761462516942705
S068,1,downtown_manhattan,45,75,5000,commute_first,lifestyle,3885,1527,32,40,32,1600,3900.0,2.556054836697468
S069,0,midtown_manhattan,45,75,4150,commute_first,explicit,3885,1271,16,40,16,1600,3495.0,5.633695641610785
S070,0,midtown_manhattan,30,75,4150,commute_first,lifestyle,3885,525,14,40,14,1625,3595.0,5.633695641610785
S071,2,midtown_manhattan,45,25,3650,location_first,lifestyle,3885,143,6,40,6,1625,3300.0,13.899150969771307
S072,1,downtown_brooklyn,30,50,4100,rent_first,explicit,3885,384,22,40,22,1600,3516.0,2.1761462516942705
S073,0,midtown_manhattan,30,75,4150,rent_first,lifestyle,3885,525,14,40,14,1625,3595.0,5.633695641610785
S074,0,midtown_manhattan,60,75,4150,location_first,explicit,3885,1674,16,40,16,1600,3399.0,5.633695641610785
S075,0,downtown_brooklyn,30,50,3600,commute_first,explicit,3885,309,25,40,25,1600,3250.0,3.767027013788408
S076,0,midtown_manhattan,30,25,3100,rent_first,explicit,3885,112,7,40,7,1625,2823.5,11.333242166933513
S077,1,downtown_manhattan,30,50,4100,rent_first,explicit,3885,299,21,40,21,1600,3650.0,2.556054836697468
S078,0,midtown_manhattan,30,25,3100,commute_first,lifestyle,3885,112,7,40,7,1625,2823.5,11.333242166933513
S079,2,midtown_manhattan,60,25,3650,location_first,explicit,3885,309,6,40,6,1625,3275.0,13.899150969771307
S080,0,downtown_brooklyn,45,25,3100,commute_first,lifestyle,3885,287,17,40,17,1600,2800.0,9.98600939720012
S081,0,midtown_manhattan,60,25,3100,rent_first,explicit,3885,521,8,40,8,1600,2762.0,11.333242166933513
S082,0,downtown_brooklyn,30,75,4150,rent_first,explicit,3885,544,29,40,29,1600,3535.0,2.1761462516942705
S083,2,downtown_brooklyn,30,75,6950,rent_first,explicit,3885,423,21,40,21,2700,4700.0,3.767027013788408
S084,0,downtown_brooklyn,60,50,3600,commute_first,lifestyle,3885,1052,30,40,30,1600,3187.0,3.767027013788408
S085,2,midtown_manhattan,45,50,5000,location_first,lifestyle,3885,444,11,40,11,1625,3995.0,11.78118483445188
S086,1,midtown_manhattan,60,50,4100,rent_first,explicit,3885,1241,11,40,11,1600,3395.0,11.333242166933513
S087,2,downtown_manhattan,30,75,6950,location_first,explicit,3885,351,20,40,20,2800,5250.0,2.6966650945796298
S088,1,midtown_manhattan,30,75,5000,rent_first,lifestyle,3885,645,15,40,15,1625,4200.0,4.313284392402618
S089,2,midtown_manhattan,30,75,6950,rent_first,lifestyle,3885,367,15,40,15,1625,5300.0,10.546782184344496
S090,0,downtown_manhattan,60,25,3100,location_first,explicit,3885,501,18,40,18,1600,2790.0,2.6966650945796298
S091,0,downtown_manhattan,30,25,3100,commute_first,explicit,3885,73,13,40,13,1600,2990.0,2.6966650945796298
S092,2,downtown_brooklyn,30,75,6950,commute_first,explicit,3885,423,21,40,21,2700,4700.0,3.767027013788408
S093,0,downtown_manhattan,30,25,3100,rent_first,explicit,3885,73,13,40,13,1600,2990.0,2.6966650945796298
S094,1,downtown_brooklyn,45,25,3250,commute_first,lifestyle,3885,276,15,40,15,1600,2995.0,9.98600939720012
S095,0,midtown_manhattan,45,25,3100,rent_first,explicit,3885,328,8,40,8,1600,2750.0,11.333242166933513
S096,1,midtown_manhattan,45,25,3250,rent_first,lifestyle,3885,322,7,40,7,1600,2995.0,11.333242166933513
S097,0,downtown_manhattan,45,75,4150,commute_first,lifestyle,3885,1317,31,40,31,1600,3461.0,2.556054836697468
S098,2,downtown_brooklyn,60,50,5000,commute_first,lifestyle,3885,682,23,40,23,1625,3750.0,3.767027013788408
S099,0,downtown_manhattan,60,50,3600,rent_first,explicit,3885,1097,26,40,26,1600,3175.0,2.6966650945796298
S100,1,downtown_brooklyn,30,75,5000,commute_first,explicit,3885,680,23,40,23,1600,4000.0,2.1761462516942705
S101,2,downtown_manhattan,45,50,5000,location_first,lifestyle,3885,551,23,40,23,1625,3800.0,4.253753279519135
S102,0,downtown_manhattan,60,50,3600,commute_first,explicit,3885,1097,26,40,26,1600,3175.0,2.6966650945796298
S103,1,downtown_manhattan,45,50,4100,rent_first,lifestyle,3885,927,29,40,29,1600,3415.0,2.556054836697468
S104,0,downtown_brooklyn,60,50,3600,location_first,explicit,3885,1052,30,40,30,1600,3187.0,3.767027013788408
S105,1,downtown_brooklyn,45,75,5000,location_first,explicit,3885,1391,29,40,29,1600,3995.0,2.1761462516942705
S106,2,downtown_brooklyn,45,25,3650,rent_first,explicit,3885,224,18,40,18,1625,3235.0,3.767027013788408
S107,2,downtown_brooklyn,45,50,5000,location_first,explicit,3885,511,23,40,23,1625,3795.0,3.767027013788408
S108,1,downtown_manhattan,45,25,3250,location_first,lifestyle,3885,350,18,40,18,1600,3000.0,2.6966650945796298
S109,2,midtown_manhattan,30,50,5000,commute_first,lifestyle,3885,163,10,40,10,1625,4244.0,11.78118483445188
S110,2,downtown_brooklyn,30,25,3650,commute_first,lifestyle,3885,105,13,40,13,2700,3300.0,3.767027013788408
S111,1,midtown_manhattan,45,50,4100,commute_first,lifestyle,3885,880,11,40,11,1600,3464.5,11.333242166933513
S112,1,midtown_manhattan,30,50,4100,location_first,explicit,3885,290,9,40,9,1625,3566.5,11.333242166933513
S113,0,midtown_manhattan,45,25,3100,commute_first,lifestyle,3885,328,8,40,8,1600,2750.0,11.333242166933513
S114,1,downtown_brooklyn,30,25,3250,commute_first,lifestyle,3885,117,11,40,11,1600,3000.0,9.98600939720012
S115,0,downtown_brooklyn,45,25,3100,rent_first,explicit,3885,287,17,40,17,1600,2800.0,9.98600939720012
S116,1,midtown_manhattan,45,75,5000,rent_first,lifestyle,3885,1465,17,40,17,1600,3942.0,4.313284392402618
S117,2,midtown_manhattan,45,25,3650,rent_first,lifestyle,3885,143,6,40,6,1625,3300.0,13.899150969771307
S118,2,midtown_manhattan,30,25,3650,commute_first,lifestyle,3885,40,5,40,5,1625,3425.0,13.899150969771307
