building candidate pools ...
pools built: 150
tasks: 5352   already done: 48   ceiling $15.0
spend ledger: $0.0574 across 48 calls
   gpt-5.6-luna              48 calls  $0.0574
  50/5352  ok=50  $0.102
  100/5352  ok=100  $0.138
  150/5352  ok=150  $0.176
  200/5352  ok=200  $0.234
  250/5352  ok=250  $0.278
  300/5352  ok=300  $0.340
  350/5352  ok=348  $0.390
  400/5352  ok=398  $0.437
  450/5352  ok=448  $0.485
  500/5352  ok=498  $0.527
  550/5352  ok=548  $0.583
  600/5352  ok=598  $0.636
  650/5352  ok=648  $0.693
  700/5352  ok=698  $0.744
  750/5352  ok=748  $0.802
  800/5352  ok=797  $0.846
  850/5352  ok=847  $0.887
  900/5352  ok=896  $0.932
  950/5352  ok=944  $0.972
  1000/5352  ok=993  $1.020
  1050/5352  ok=1042  $1.077
  1100/5352  ok=1091  $1.130
  1150/5352  ok=1139  $1.177
  1200/5352  ok=1187  $1.218
  1250/5352  ok=1235  $1.269
  1300/5352  ok=1284  $1.315
  1350/5352  ok=1333  $1.365
  1400/5352  ok=1382  $1.414
  1450/5352  ok=1431  $1.477
  1500/5352  ok=1478  $1.537
  1550/5352  ok=1525  $1.586
  1600/5352  ok=1573  $1.628
  1650/5352  ok=1622  $1.668
  1700/5352  ok=1669  $1.716
  1750/5352  ok=1719  $1.753
  1800/5352  ok=1766  $1.816
  1850/5352  ok=1813  $1.862
  1900/5352  ok=1861  $1.908
  1950/5352  ok=1908  $1.959
  2000/5352  ok=1957  $2.019
  2050/5352  ok=2006  $2.067
  2100/5352  ok=2054  $2.113
  2150/5352  ok=2100  $2.156
  2200/5352  ok=2148  $2.204
  2250/5352  ok=2193  $2.242
  2300/5352  ok=2238  $0.000
  2350/5352  ok=2287  $2.338
  2400/5352  ok=2336  $2.391
  2450/5352  ok=2378  $0.000
  2500/5352  ok=2427  $2.478
  2550/5352  ok=2476  $2.534
  2600/5352  ok=2523  $2.577
  2650/5352  ok=2568  $2.622
  2700/5352  ok=2615  $2.659
  2750/5352  ok=2660  $2.694
  2800/5352  ok=2705  $0.000
  2850/5352  ok=2753  $2.780
  2900/5352  ok=2803  $2.819
  2950/5352  ok=2852  $2.858
  3000/5352  ok=2899  $2.899
  3050/5352  ok=2947  $2.946
  3100/5352  ok=2994  $0.000
  3150/5352  ok=3041  $3.032
  3200/5352  ok=3089  $3.079
  3250/5352  ok=3138  $3.126
  3300/5352  ok=3184  $3.160
  3350/5352  ok=3229  $3.202
  3400/5352  ok=3277  $3.245
  3450/5352  ok=3326  $3.293
  3500/5352  ok=3375  $3.346
  3550/5352  ok=3422  $3.384
  3600/5352  ok=3471  $3.425
  3650/5352  ok=3519  $3.477
  3700/5352  ok=3567  $0.000
  3750/5352  ok=3617  $3.583
  3800/5352  ok=3667  $3.629
  3850/5352  ok=3715  $3.682
  3900/5352  ok=3762  $3.733
  3950/5352  ok=3812  $3.783
  4000/5352  ok=3860  $3.831
  4050/5352  ok=3909  $3.878
  4100/5352  ok=3956  $3.926
  4150/5352  ok=4002  $3.967
  4200/5352  ok=4051  $4.021
  4250/5352  ok=4100  $4.068
  4300/5352  ok=4147  $4.111
  4350/5352  ok=4197  $4.166
  4400/5352  ok=4246  $4.220
  4450/5352  ok=4294  $4.273
  4500/5352  ok=4343  $4.326
  4550/5352  ok=4393  $4.369
  4600/5352  ok=4440  $4.419
  4650/5352  ok=4488  $4.469
  4700/5352  ok=4536  $4.512
  4750/5352  ok=4586  $4.568
  4800/5352  ok=4636  $4.624
  4850/5352  ok=4685  $4.665
  4900/5352  ok=4732  $4.706
  4950/5352  ok=4781  $4.746
  5000/5352  ok=4831  $4.783
  5050/5352  ok=4878  $4.821
  5100/5352  ok=4926  $4.869
  5150/5352  ok=4975  $4.914
  5200/5352  ok=5023  $4.967
  5250/5352  ok=5073  $5.012
  5300/5352  ok=5120  $0.000
  5350/5352  ok=5168  $5.100

done in 75.1 min   5170/5352 parsed
spend ledger: $5.1011 across 5219 calls
   gpt-5.6-luna            5219 calls  $5.1011
