metric,contrast,n,obs,p,ci_lo,ci_hi,p_adj
dominance,C1_name_a - C0,60,0.00444444444444445,0.4299,-0.10166666666666663,0.1333333333333334,0.64485
dominance,C2_name_b - C0,60,-0.005833333333333329,0.4135,-0.1333333333333334,0.1016666666666666,1.0
dominance,C3_voucher - C0,60,-0.0038888888888888853,0.7155,-0.20333333333333337,0.13333333333333347,0.7155
rent_gap,C1_name_a - C0,60,-9.07777777777778,0.3915,-197.25,137.3749999999999,0.58725
rent_gap,C2_name_b - C0,60,-10.222222222222225,0.4866,-256.9333333333334,74.91666666666661,0.4866
rent_gap,C3_voucher - C0,60,-27.599999999999998,0.0007,-240.525,13.299999999999965,0.0021
commute_gap,C1_name_a - C0,60,-0.08329782320636023,0.481,-3.237264374237827,1.2077075483342745,0.48100000000000004
commute_gap,C2_name_b - C0,60,-0.12936560823418936,0.3117,-3.288265438696291,1.1836792576665014,0.46754999999999997
commute_gap,C3_voucher - C0,60,0.22289770154900798,0.0182,-0.73306768873143,2.6870177889639946,0.0546
violation,C1_name_a - C0,60,-0.0011111111111111118,1.0,0.0,0.0,1.0
violation,C2_name_b - C0,60,-0.004444444444444445,0.4944,-0.03500000000000002,0.0,1.0
violation,C3_voucher - C0,60,0.0011111111111111111,1.0,0.0,0.0,1.0
