arch,metric,contrast,n,obs,p,ci_lo,ci_hi,p_adj
S1,dominance,C1_name_a - C0,150,0.0029074074074074132,0.6769,-0.15166666666666664,0.19999999999999998,1.0
S1,dominance,C2_name_b - C0,150,0.0032037037037037064,0.6305,-0.1333333333333334,0.1516666666666671,1.0
S1,dominance,C3_voucher - C0,150,-0.0005370370370370368,0.9395,-0.13333333333333341,0.21833333333333363,0.9395000000000001
S1,rent_gap,C1_name_a - C0,150,5.324444444444442,0.6939,-359.125,365.06250000000017,1.0
S1,rent_gap,C2_name_b - C0,150,7.822222222222223,0.5322,-304.53333333333336,394.16666666666686,0.9579599999999999
S1,rent_gap,C3_voucher - C0,150,-17.475555555555555,0.2468,-471.5,341.0000000000006,0.5553
S1,commute_gap,C1_name_a - C0,150,0.13016786770528904,0.5409,-5.122700881943303,5.30129996763336,1.0
S1,commute_gap,C2_name_b - C0,150,0.17033203070925568,0.35,-3.3737371921963217,4.126306473891436,1.0
S1,commute_gap,C3_voucher - C0,150,0.2826946691877791,0.1103,-3.0516678719719836,5.23166591267852,0.9926999999999999
S1,violation,C1_name_a - C0,150,0.004666666666666669,0.0804,-0.03333333333333334,0.06666666666666672,0.7236
S1,violation,C2_name_b - C0,150,0.002444444444444445,0.3509,-0.0425,0.06666666666666672,0.6316200000000001
S1,violation,C3_voucher - C0,150,0.0006666666666666668,0.8115,-0.06666666666666668,0.06666666666666667,1.0
S2,dominance,C1_name_a - C0,150,0.0007777777777777782,0.8978,-0.16666666666666666,0.17583333333333348,1.0
S2,dominance,C2_name_b - C0,150,-0.0008148148148148114,0.8869,-0.14250000000000004,0.13333333333333341,1.0
S2,dominance,C3_voucher - C0,150,-0.004407407407407407,0.4861,-0.1333333333333334,0.1333333333333333,1.0
S2,rent_gap,C1_name_a - C0,150,24.49777777777778,0.0828,-219.54166666666663,447.83333333333405,0.24839999999999998
S2,rent_gap,C2_name_b - C0,150,24.20777777777778,0.0478,-209.36666666666665,506.99166666666684,0.2151
S2,rent_gap,C3_voucher - C0,150,-2.568888888888889,0.8172,-216.04166666666663,223.41666666666686,1.0
S2,commute_gap,C1_name_a - C0,150,-0.07932684303157442,0.584,-4.6608673056290115,3.727855692284335,1.0
S2,commute_gap,C2_name_b - C0,150,-0.16061408855392567,0.3273,-6.130094929275651,3.740735995759166,1.0
S2,commute_gap,C3_voucher - C0,150,-0.07076356023886327,0.6194,-4.68878949954147,3.607446505966259,0.9290999999999999
S2,violation,C1_name_a - C0,150,0.0032222222222222227,0.1539,-7.632783294297949e-18,0.06666666666666671,0.4617
S2,violation,C2_name_b - C0,150,0.0023333333333333344,0.1666,0.0,0.030416666666666967,0.37485
S2,violation,C3_voucher - C0,150,0.003222222222222223,0.1137,-7.632783294297949e-18,0.06666666666666668,0.5116499999999999
S3,dominance,C1_name_a - C0,150,0.0019999999999999974,0.8136,-0.19999999999999998,0.2,1.0
S3,dominance,C2_name_b - C0,150,0.005222222222222226,0.5542,-0.20000000000000007,0.209166666666667,1.0
S3,dominance,C3_voucher - C0,150,-0.001333333333333333,0.8874,-0.23666666666666664,0.21833333333333385,1.0
S3,rent_gap,C1_name_a - C0,150,-2.354444444444442,0.8794,-503.8083333333333,436.6666666666674,0.8794
S3,rent_gap,C2_name_b - C0,150,4.458888888888887,0.8323,-445.8166666666666,439.091666666667,0.9363375
S3,rent_gap,C3_voucher - C0,150,-49.217777777777776,0.0235,-845.0,401.375,0.2115
S3,commute_gap,C1_name_a - C0,150,-0.0024179103486323566,0.9908,-5.200146935206593,4.21957720455104,0.9907999999999999
S3,commute_gap,C2_name_b - C0,150,0.043142886646574084,0.8584,-5.657748031137715,5.469632205808863,0.9657
S3,commute_gap,C3_voucher - C0,150,0.07070984787822172,0.7778,-5.369371659919926,6.84319903873561,1.0
S3,violation,C1_name_a - C0,150,0.0,1.0,0.0,0.0,1.0
S3,violation,C2_name_b - C0,150,0.0,1.0,0.0,0.0,1.0
S3,violation,C3_voucher - C0,150,0.0,1.0,0.0,0.0,1.0
